chr2-row1	574885.4870335422	784726.6451150186	679000
chr2-row2	533383.4548822617	1813924.6957283262	1173000
chr2-row3	685170.438612	1285374.9544958137	985000
chr2-row4	615041.9420580318	722737.790928643	668000
chr2-row5	744006.0562363534	1874559.8260513132	1309000
chr2-row6	1324714.866115917	1435466.4720156246	1380000
chr2-row7	175970.2576158576	594868.1087327271	385000
chr2-row8	295520.9131327104	395343.50497156766	345000
chr5-row1	1065464.0390475607	1147242.6536763213	1106000
chr5-row2	762308.9384882035	792509.865233	777000
chr5-row3	726419.713826212	1433182.717257353	1079000
chr5-row4	567618.1889625214	1027258.7175616219	797000
chr5-row5	1134560.872633978	1875522.0039461267	1505000
chr5-row6	207411.1916310363	614295.0054748864	410000
chr5-row7	722259.3120577107	767431.8252542735	744000
chr5-row8	223114.0568029344	539700.711606509	381000
